SKU;FORNECEDORES;CATEGORIA
SKU_001;FORNECEDOR_001;CATEGORIA_001
SKU_002;FORNECEDOR_002;CATEGORIA_002
SKU_003;FORNECEDOR_002;CATEGORIA_002
SKU_004;FORNECEDOR_002;CATEGORIA_002
SKU_005;FORNECEDOR_002;CATEGORIA_003
SKU_006;FORNECEDOR_002;CATEGORIA_003
SKU_007;FORNECEDOR_002;CATEGORIA_003
SKU_008;FORNECEDOR_002;CATEGORIA_003
SKU_009;FORNECEDOR_002;CATEGORIA_003
SKU_010;FORNECEDOR_002;CATEGORIA_003
SKU_011;FORNECEDOR_002;CATEGORIA_003
SKU_012;FORNECEDOR_002;CATEGORIA_003
SKU_013;FORNECEDOR_002;CATEGORIA_003
SKU_014;FORNECEDOR_002;CATEGORIA_003
SKU_015;FORNECEDOR_002;CATEGORIA_003
SKU_016;FORNECEDOR_002;CATEGORIA_003
SKU_017;FORNECEDOR_002;CATEGORIA_003
SKU_018;FORNECEDOR_002;CATEGORIA_004
SKU_019;FORNECEDOR_002;CATEGORIA_004
SKU_020;FORNECEDOR_002;CATEGORIA_005
SKU_021;FORNECEDOR_002;CATEGORIA_005
SKU_022;FORNECEDOR_002;CATEGORIA_004
SKU_023;FORNECEDOR_002;CATEGORIA_004
SKU_024;FORNECEDOR_002;CATEGORIA_004
SKU_025;FORNECEDOR_002;CATEGORIA_004
SKU_026;FORNECEDOR_002;CATEGORIA_005
SKU_027;FORNECEDOR_002;CATEGORIA_004
SKU_028;FORNECEDOR_002;CATEGORIA_004
SKU_029;FORNECEDOR_002;CATEGORIA_005
SKU_030;FORNECEDOR_002;CATEGORIA_005
SKU_031;FORNECEDOR_002;CATEGORIA_004
SKU_032;FORNECEDOR_002;CATEGORIA_004
SKU_033;FORNECEDOR_002;CATEGORIA_004
SKU_034;FORNECEDOR_002;CATEGORIA_004
SKU_035;FORNECEDOR_002;CATEGORIA_004
SKU_036;FORNECEDOR_002;CATEGORIA_004
SKU_037;FORNECEDOR_002;CATEGORIA_003
SKU_038;FORNECEDOR_002;CATEGORIA_003
SKU_039;FORNECEDOR_002;CATEGORIA_006
SKU_040;FORNECEDOR_002;CATEGORIA_006
SKU_041;FORNECEDOR_002;CATEGORIA_006
SKU_042;FORNECEDOR_002;CATEGORIA_006
SKU_043;FORNECEDOR_002;CATEGORIA_006
SKU_044;FORNECEDOR_002;CATEGORIA_006
SKU_045;FORNECEDOR_002;CATEGORIA_006
SKU_046;FORNECEDOR_002;CATEGORIA_006
SKU_047;FORNECEDOR_002;CATEGORIA_006
SKU_048;FORNECEDOR_002;CATEGORIA_006
SKU_049;FORNECEDOR_002;CATEGORIA_006
