MARKETPLACE;DATA;ID_PEDIDO;ID_ANUNCIO;SKU;ESTADO_DE_DESTINO_DA_VENDA;STATUS;QUANTIDADE;FATURAMENTO;TARIFA;FRETE_VENDEDOR;FRETE_COMPRADOR;PRECO DE CUSTO;IMPOSTO
Mercado Livre I;01/10/2023;#2000006578928204;;SKU_125;Sao Paulo;Pago;1;"508,41";"83,89";"63,95";0;40;"66,09"
Mercado Livre I;01/10/2023;#2000006578908450;;SKU_090;Rio Grande do Sul;Pago;1;"137,74";"15,84";"22,95";0;"50,09";"17,91"
Mercado Livre I;01/10/2023;#2000006578836480;;SKU_237;Sao Paulo;Pago;1;"70,29";"14,08";0;"22,14";"26,77";"9,14"
Mercado Livre I;01/10/2023;#2000006578842062;;SKU_233;Sao Paulo;Pago;2;"95,8";"23,02";0;0;"48,52";"12,45"
Mercado Livre I;01/10/2023;#2000006577647132;;SKU_090;Parana;Pago;1;"137,74";"15,84";"22,95";0;"50,09";"17,91"
Mercado Livre I;01/10/2023;#2000006578449822;;SKU_174;Santa Catarina;Pago;2;798;"131,68";"142,9";0;"39,84";"103,74"
Mercado Livre I;01/10/2023;#2000006578444700;;SKU_116;Sao Paulo;Pago;1;"304,07";"34,97";"63,95";0;"150,6";"39,53"
Mercado Livre I;01/10/2023;#2000006578434340;;SKU_204;Santa Catarina;Pago;3;"236,7";"57,06";0;0;"201,58";"30,77"
Mercado Livre I;01/10/2023;#2000006578333636;;SKU_089;Rondonia;Cancelado;1;"299,99";"34,5";"23,45";"30,85";133;39
Mercado Livre I;01/10/2023;#2000006578346510;;SKU_124;Rio Grande do Sul;Pago;1;"177,42";"20,4";"23,95";0;95;"23,06"
Mercado Livre I;01/10/2023;#2000006578217826;;SKU_225;Distrito Federal;Pago;1;"74,9";"14,61";0;"24,37";"37,56";"9,74"
Mercado Livre I;01/10/2023;#2000006578207480;;SKU_087;Rio Grande do Sul;Pago;1;"143,54";"16,51";"22,95";0;"48,67";"18,66"
Mercado Livre I;01/10/2023;#2000006577958586;;SKU_090;Para;Pago;1;"137,74";"15,84";"22,95";"38,63";"50,09";"17,91"
Mercado Livre I;01/10/2023;#2000006577955200;;SKU_237;Santa Catarina;Pago;1;"70,29";"14,08";0;0;"26,77";"9,14"
Mercado Livre I;01/10/2023;#2000006577898736;;SKU_094;Sao Paulo;Pago;1;"142,9";"16,43";"22,45";0;"59,98";"18,58"
Mercado Livre I;01/10/2023;#2000006577702688;;SKU_187;Minas Gerais;Pago;1;"78,9";"15,07";0;"20,32";49;"10,26"
Mercado Livre I;01/10/2023;#2000006577564744;;SKU_244;Minas Gerais;Pago;1;"100,09";"11,51";"21,45";0;"30,5";"13,01"
Mercado Livre I;01/10/2023;#2000006577310730;;SKU_141;Rio de Janeiro;Pago;1;"171,38";"22,01";"40,95";0;95;"22,28"
Mercado Livre I;01/10/2023;#2000006577175924;;SKU_229;Sao Paulo;Pago;3;"173,7";"46,65";0;0;90;"22,58"
Mercado Livre I;01/10/2023;#2000006576823778;;SKU_087;Santa Catarina;Pago;1;"143,54";"16,51";"22,95";0;"48,67";"18,66"
Mercado Livre I;01/10/2023;#2000006576838092;;SKU_116;Rio Grande do Sul;Pago;1;"304,07";"34,97";"63,95";0;"150,6";"39,53"
Mercado Livre I;01/10/2023;#2000006576831008;;SKU_261;Bahia;Pago;1;"78,9";"19,02";0;"14,46";"44,1";"10,26"
Mercado Livre I;01/10/2023;#2000006576804598;;SKU_204;Bahia;Pago;2;"157,8";"38,04";0;"12,6";"134,38";"20,51"
Mercado Livre I;01/10/2023;#2000006576734548;;SKU_190;Rio Grande do Sul;Pago;1;"95,83";"11,02";"23,45";0;"24,02";"12,46"
Mercado Livre I;01/10/2023;#2000006576719860;;SKU_087;Santa Catarina;Pago;1;"131,94";"15,17";"22,95";0;"48,67";"17,15"
Mercado Livre I;01/10/2023;#2000006576377488;;SKU_020;Sao Paulo;Pago;1;429;"49,34";"63,95";0;190;"55,77"
Mercado Livre I;01/10/2023;#2000006576349490;;SKU_087;Sao Paulo;Pago;1;"131,94";"15,17";"22,95";0;"48,67";"17,15"
Mercado Livre I;01/10/2023;#2000006576325630;;SKU_190;Rio de Janeiro;Pago;1;"95,83";"11,02";"23,45";"8,78";"24,02";"12,46"
Mercado Livre I;01/10/2023;#2000006576222442;;SKU_244;Parana;Pago;1;"100,09";"11,51";"21,45";0;"30,5";"13,01"
Mercado Livre I;01/10/2023;#2000006575976272;;SKU_097;Pernambuco;Pago;1;"144,99";"16,67";"22,95";0;"62,23";"18,85"
Mercado Livre I;01/10/2023;#2000006575934764;;SKU_098;Minas Gerais;Pago;1;"123,16";"14,16";"23,45";0;"62,23";"16,01"
Mercado Livre I;01/10/2023;#2000006575909758;;SKU_067;Sao Paulo;Pago;1;"144,99";"23,92";"22,45";0;"46,51";"18,85"
Mercado Livre I;01/10/2023;#2000006575557112;;SKU_150;Sao Paulo;Pago;1;249;"41,08";"40,95";0;"97,3";"32,37"
Mercado Livre I;01/10/2023;#2000006575467046;;SKU_200;Santa Catarina;Pago;1;"46,8";"11,38";0;0;"19,04";"6,08"
Mercado Livre I;01/10/2023;#2000006575470898;;SKU_244;Sao Paulo;Pago;1;"100,09";"11,51";"21,45";0;"30,5";"13,01"
Mercado Livre I;01/10/2023;#2000006575342770;;SKU_200;Santa Catarina;Pago;1;"46,8";"11,38";0;14;"19,04";"6,08"
Mercado Livre I;01/10/2023;#2000006575259768;;SKU_067;Sao Paulo;Pago;1;"131,94";"15,17";"22,95";0;"46,51";"17,15"
Mercado Livre I;01/10/2023;#2000006575232658;;SKU_090;Sao Paulo;Pago;1;"144,99";"16,67";"22,45";0;"50,09";"18,85"
Mercado Livre I;01/10/2023;#2000006575208952;;SKU_141;Sao Paulo;Pago;1;"194,9";"22,41";"40,95";0;95;"25,34"
Mercado Livre I;01/10/2023;#2000006575151368;;SKU_140;Bahia;Pago;1;"249,59";"28,7";"63,95";0;"64,12";"32,45"
Mercado Livre I;01/10/2023;#2000006575139416;;SKU_090;Sao Paulo;Pago;1;"137,74";"15,84";"22,95";0;"50,09";"17,91"
Mercado Livre I;01/10/2023;#2000006575091846;;SKU_090;Minas Gerais;Pago;1;"137,74";"15,84";"22,95";0;"50,09";"17,91"
Mercado Livre I;01/10/2023;#2000006574860074;;SKU_066;Sao Paulo;Pago;1;"131,94";"15,17";"22,95";0;"46,51";"17,15"
